date,city,aqi,co2_emissions,methane_emissions,vehicle_density,industrial_activity,waste_index,ev_subsidy_level,emission_cap_strength,pm25_proxy,pm10_proxy,temperature,humidity,wind_speed,month,day_of_year,year
2018-02-07,Chennai,448.21,3.77,1.698,0.572,0.676,0.665,0.235,0.33,200.37,334.03,18.0,56.3,8.0,2,38,2018
2018-02-08,Chennai,483.0,4.002,1.936,0.618,0.654,0.558,0.181,0.321,226.27,355.03,13.0,58.5,8.8,2,39,2018
2018-02-09,Chennai,442.85,4.148,1.872,0.637,0.77,0.729,0.163,0.304,199.41,327.55,11.5,41.8,11.0,2,40,2018
2018-02-10,Chennai,486.49,4.109,1.953,0.645,0.705,0.566,0.241,0.294,211.4,359.27,4.8,42.6,5.8,2,41,2018
2018-02-11,Chennai,437.2,4.069,2.065,0.634,0.856,0.643,0.221,0.295,218.86,324.17,9.6,41.0,8.9,2,42,2018
2018-02-12,Chennai,443.79,3.899,1.875,0.659,0.683,0.674,0.18,0.292,199.77,330.29,8.9,25.3,9.7,2,43,2018
2018-02-13,Chennai,486.14,4.064,1.95,0.705,0.689,0.669,0.184,0.292,211.96,360.74,9.3,45.3,6.8,2,44,2018
2018-02-14,Chennai,461.16,4.147,2.125,0.601,0.744,0.551,0.21,0.292,224.71,332.19,15.6,43.3,4.8,2,45,2018
2018-02-15,Chennai,474.7,3.841,1.873,0.705,0.672,0.691,0.236,0.323,199.76,355.39,16.1,49.0,9.8,2,46,2018
2018-02-16,Chennai,444.58,4.06,2.094,0.64,0.652,0.648,0.2,0.288,192.6,335.82,10.7,48.8,7.5,2,47,2018
2018-02-17,Chennai,476.86,3.863,1.863,0.66,0.756,0.798,0.165,0.336,222.76,366.12,10.3,44.8,5.7,2,48,2018
2018-02-18,Chennai,478.39,3.715,1.875,0.655,0.614,0.687,0.153,0.323,207.69,371.0,11.7,44.4,7.9,2,49,2018
2018-02-19,Chennai,492.99,3.978,1.924,0.662,0.733,0.767,0.186,0.322,227.69,365.03,7.1,30.7,10.6,2,50,2018
2018-02-20,Chennai,495.45,3.831,1.898,0.699,0.735,0.603,0.186,0.313,229.82,374.85,16.7,39.9,11.0,2,51,2018
2018-02-21,Chennai,427.71,3.641,1.726,0.606,0.77,0.552,0.177,0.317,209.02,328.87,15.5,26.8,9.4,2,52,2018
2018-02-22,Chennai,452.67,3.862,1.907,0.614,0.749,0.755,0.254,0.3,212.2,332.0,9.6,34.6,12.8,2,53,2018
2018-02-23,Chennai,494.61,4.405,2.18,0.678,0.865,0.712,0.164,0.292,218.91,372.71,9.9,50.3,11.7,2,54,2018
2018-02-24,Chennai,474.74,3.599,1.77,0.618,0.706,0.784,0.189,0.3,207.74,359.22,18.7,41.0,6.9,2,55,2018
2018-02-25,Chennai,467.64,3.918,1.756,0.565,0.66,0.723,0.276,0.283,201.99,328.34,16.5,38.7,8.5,2,56,2018
2018-02-26,Chennai,488.71,3.993,2.05,0.676,0.86,0.76,0.188,0.318,210.99,365.65,19.8,35.7,4.7,2,57,2018
2018-02-27,Chennai,454.3,3.784,1.873,0.617,0.73,0.692,0.212,0.289,207.59,341.57,12.2,35.4,13.4,2,58,2018
2018-02-28,Chennai,468.82,3.739,1.853,0.678,0.678,0.597,0.255,0.323,196.75,342.56,20.2,36.5,8.8,2,59,2018
2018-03-01,Chennai,411.99,3.719,1.919,0.618,0.623,0.571,0.209,0.323,186.68,319.4,12.2,35.5,16.7,3,60,2018
2018-03-02,Chennai,456.57,3.74,1.814,0.679,0.687,0.517,0.225,0.315,190.02,362.52,15.8,39.7,10.1,3,61,2018
2018-03-03,Chennai,460.9,3.849,1.919,0.648,0.665,0.617,0.193,0.3,209.46,349.18,10.3,50.4,10.7,3,62,2018
2018-03-04,Chennai,483.14,4.074,2.027,0.61,0.666,0.649,0.187,0.293,213.03,347.7,14.3,45.3,12.7,3,63,2018
2018-03-05,Chennai,417.44,3.722,1.772,0.592,0.6,0.63,0.165,0.296,192.91,309.91,16.6,29.9,15.7,3,64,2018
2018-03-06,Chennai,424.68,3.669,1.788,0.627,0.686,0.656,0.208,0.292,169.49,307.08,15.1,28.1,16.1,3,65,2018
2018-03-07,Chennai,460.16,3.848,1.813,0.636,0.724,0.511,0.226,0.31,214.65,368.77,18.5,28.5,11.2,3,66,2018
2018-03-08,Chennai,395.15,3.605,1.556,0.603,0.652,0.659,0.273,0.309,177.9,289.38,14.4,27.3,11.0,3,67,2018
2018-03-09,Chennai,450.1,3.665,1.724,0.586,0.676,0.751,0.198,0.349,198.8,339.11,17.1,18.1,9.7,3,68,2018
2018-03-10,Chennai,412.44,3.633,1.659,0.622,0.674,0.592,0.251,0.348,189.78,321.94,16.3,32.6,15.9,3,69,2018
2018-03-11,Chennai,455.26,3.939,1.793,0.694,0.703,0.561,0.243,0.342,208.43,330.86,16.5,28.1,12.9,3,70,2018
2018-03-12,Chennai,469.87,3.986,1.894,0.648,0.785,0.561,0.193,0.308,200.42,343.22,20.3,30.9,9.7,3,71,2018
2018-03-13,Chennai,433.18,3.746,2.017,0.61,0.714,0.613,0.216,0.283,196.19,339.06,16.0,26.8,13.6,3,72,2018
2018-03-14,Chennai,416.36,3.511,1.615,0.641,0.643,0.622,0.217,0.316,193.22,326.07,17.8,30.9,12.9,3,73,2018
2018-03-15,Chennai,407.51,3.663,1.828,0.666,0.695,0.673,0.174,0.307,170.64,293.62,17.1,24.9,9.5,3,74,2018
2018-03-16,Chennai,397.46,3.766,1.687,0.599,0.718,0.708,0.209,0.313,180.49,285.53,23.6,24.8,9.9,3,75,2018
2018-03-17,Chennai,457.92,3.904,1.908,0.628,0.638,0.578,0.191,0.321,215.7,349.88,19.0,45.6,8.3,3,76,2018
2018-03-18,Chennai,422.61,3.281,1.661,0.631,0.653,0.611,0.21,0.327,191.54,323.3,19.2,19.5,14.1,3,77,2018
2018-03-19,Chennai,442.86,3.769,1.738,0.62,0.657,0.536,0.212,0.277,195.52,324.91,18.7,54.0,9.9,3,78,2018
2018-03-20,Chennai,396.19,3.841,1.814,0.587,0.688,0.686,0.216,0.339,167.33,300.06,21.1,18.0,8.2,3,79,2018
2018-03-21,Chennai,422.7,3.881,1.807,0.664,0.679,0.627,0.199,0.332,181.42,303.34,18.8,21.9,14.9,3,80,2018
2018-03-22,Chennai,418.87,3.783,1.865,0.555,0.617,0.618,0.186,0.302,185.25,319.9,18.9,18.2,12.0,3,81,2018
2018-03-23,Chennai,446.09,3.913,1.917,0.616,0.669,0.738,0.165,0.331,206.95,337.11,19.2,25.0,5.8,3,82,2018
2018-03-24,Chennai,402.23,3.713,1.874,0.603,0.698,0.659,0.246,0.308,185.74,281.48,21.0,10.0,13.0,3,83,2018
2018-03-25,Chennai,444.64,3.916,1.9,0.613,0.753,0.779,0.219,0.314,196.89,328.7,24.3,35.5,6.4,3,84,2018
2018-03-26,Chennai,383.82,3.46,1.56,0.691,0.633,0.704,0.249,0.311,166.1,283.66,20.4,20.9,9.2,3,85,2018
2018-03-27,Chennai,466.52,3.665,1.691,0.624,0.654,0.618,0.214,0.299,205.04,357.03,17.6,29.8,12.3,3,86,2018
2018-03-28,Chennai,472.11,3.802,1.73,0.679,0.644,0.576,0.218,0.289,221.69,341.34,17.4,40.9,12.3,3,87,2018
2018-03-29,Chennai,404.13,3.633,1.688,0.642,0.611,0.627,0.211,0.369,169.64,316.0,30.8,22.7,9.3,3,88,2018
2018-03-30,Chennai,425.02,3.525,1.652,0.655,0.565,0.708,0.208,0.327,191.39,319.02,19.9,29.8,7.9,3,89,2018
2018-03-31,Chennai,406.34,3.684,1.763,0.623,0.72,0.559,0.226,0.317,178.49,316.94,28.3,19.2,15.7,3,90,2018
2018-04-01,Chennai,421.9,3.817,1.842,0.659,0.688,0.611,0.21,0.351,194.94,299.6,22.1,33.0,15.7,4,91,2018
2018-04-02,Chennai,424.99,3.677,1.646,0.601,0.71,0.597,0.249,0.281,189.27,321.67,20.2,29.0,11.2,4,92,2018
2018-04-03,Chennai,419.46,3.678,1.859,0.606,0.699,0.622,0.262,0.31,178.37,316.28,23.1,16.0,11.8,4,93,2018
2018-04-04,Chennai,448.84,3.714,1.826,0.603,0.665,0.675,0.259,0.303,214.28,338.72,25.5,36.8,10.1,4,94,2018
2018-04-05,Chennai,406.32,3.675,1.753,0.581,0.654,0.657,0.267,0.306,184.23,308.56,23.2,25.0,11.2,4,95,2018
2018-04-06,Chennai,437.62,3.971,1.89,0.632,0.738,0.673,0.186,0.316,197.85,331.16,22.3,24.4,11.9,4,96,2018
2018-04-07,Chennai,381.61,3.904,1.858,0.659,0.718,0.564,0.257,0.307,160.17,259.27,19.7,31.1,13.8,4,97,2018
2018-04-08,Chennai,437.28,3.75,1.794,0.615,0.682,0.703,0.224,0.28,193.77,347.58,22.7,33.7,7.7,4,98,2018
2018-04-09,Chennai,367.44,3.599,1.782,0.596,0.637,0.713,0.224,0.296,159.08,267.69,26.0,17.1,12.9,4,99,2018
2018-04-10,Chennai,409.99,3.952,1.903,0.709,0.691,0.648,0.2,0.298,183.37,300.33,20.4,32.8,15.8,4,100,2018
2018-04-11,Chennai,462.49,3.954,1.94,0.615,0.695,0.59,0.211,0.308,192.69,347.55,24.0,25.6,11.0,4,101,2018
2018-04-12,Chennai,438.68,3.481,1.703,0.666,0.655,0.711,0.156,0.298,198.02,334.69,26.3,23.2,9.4,4,102,2018
2018-04-13,Chennai,393.07,3.689,1.75,0.627,0.697,0.748,0.239,0.313,183.12,278.93,29.4,20.0,14.7,4,103,2018
2018-04-14,Chennai,459.4,3.716,1.685,0.673,0.713,0.689,0.216,0.314,201.93,326.58,22.7,26.9,9.2,4,104,2018
2018-04-15,Chennai,431.53,3.578,1.861,0.629,0.71,0.609,0.207,0.274,195.95,341.32,32.4,13.7,8.6,4,105,2018
2018-04-16,Chennai,431.93,3.647,1.836,0.622,0.734,0.587,0.263,0.296,185.66,319.76,27.9,18.4,7.3,4,106,2018
2018-04-17,Chennai,391.96,3.673,1.9,0.627,0.726,0.698,0.224,0.322,189.44,297.52,23.2,11.6,13.1,4,107,2018
2018-04-18,Chennai,476.13,3.903,1.863,0.622,0.735,0.55,0.196,0.315,205.69,344.87,27.4,31.7,8.7,4,108,2018
2018-04-19,Chennai,427.83,3.471,1.72,0.632,0.66,0.554,0.223,0.283,190.61,340.19,25.0,26.3,7.6,4,109,2018
2018-04-20,Chennai,404.57,3.729,1.773,0.592,0.721,0.667,0.275,0.334,175.22,313.41,22.7,26.9,12.2,4,110,2018
2018-04-21,Chennai,375.21,3.61,1.818,0.649,0.706,0.767,0.22,0.33,160.97,274.68,27.1,21.3,9.2,4,111,2018
2018-04-22,Chennai,416.25,3.955,2.049,0.735,0.719,0.747,0.249,0.365,199.63,330.58,27.4,23.5,13.4,4,112,2018
2018-04-23,Chennai,424.26,3.703,1.924,0.594,0.685,0.672,0.203,0.354,202.37,326.19,28.9,23.5,13.2,4,113,2018
2018-04-24,Chennai,425.47,3.858,1.881,0.64,0.709,0.513,0.24,0.302,187.17,328.84,25.4,27.8,12.1,4,114,2018
2018-04-25,Chennai,442.69,3.667,1.835,0.629,0.632,0.473,0.231,0.316,226.32,342.63,25.9,12.9,9.9,4,115,2018
2018-04-26,Chennai,382.55,3.448,1.734,0.584,0.706,0.638,0.225,0.32,180.77,282.44,31.5,26.0,13.9,4,116,2018
2018-04-27,Chennai,437.55,3.683,1.816,0.662,0.74,0.787,0.211,0.345,204.84,349.8,31.2,28.9,8.3,4,117,2018
2018-04-28,Chennai,460.24,4.014,1.993,0.613,0.765,0.601,0.217,0.314,207.0,366.23,25.4,29.3,14.8,4,118,2018
2018-04-29,Chennai,406.86,3.781,1.774,0.609,0.673,0.707,0.169,0.346,192.45,326.65,24.3,41.5,11.3,4,119,2018
2018-04-30,Chennai,460.12,4.112,1.881,0.69,0.77,0.694,0.178,0.325,207.89,317.35,26.2,27.7,11.6,4,120,2018
2018-05-01,Chennai,437.09,3.93,1.938,0.621,0.675,0.611,0.18,0.304,188.65,328.28,33.1,32.6,12.8,5,121,2018
2018-05-02,Chennai,407.56,3.671,1.708,0.682,0.719,0.637,0.181,0.296,183.08,310.03,21.3,33.4,15.1,5,122,2018
2018-05-03,Chennai,358.22,3.511,1.649,0.652,0.682,0.536,0.218,0.34,157.5,264.88,28.4,20.0,12.6,5,123,2018
2018-05-04,Chennai,449.01,3.917,1.876,0.635,0.743,0.691,0.212,0.34,192.05,336.9,33.1,32.4,10.8,5,124,2018
2018-05-05,Chennai,412.11,3.88,2.004,0.659,0.689,0.609,0.195,0.342,193.41,308.74,31.1,10.8,13.4,5,125,2018
2018-05-06,Chennai,405.25,3.681,1.782,0.657,0.656,0.715,0.263,0.269,183.64,320.11,30.2,19.8,14.7,5,126,2018
2018-05-07,Chennai,436.55,3.515,1.658,0.624,0.733,0.644,0.219,0.318,195.78,341.94,33.6,32.0,14.5,5,127,2018
2018-05-08,Chennai,402.14,3.573,1.64,0.612,0.653,0.623,0.254,0.346,194.88,305.82,30.4,17.7,12.4,5,128,2018
2018-05-09,Chennai,433.38,3.765,1.82,0.669,0.699,0.514,0.184,0.292,196.29,330.38,29.6,35.5,12.5,5,129,2018
2018-05-10,Chennai,467.03,3.79,1.807,0.739,0.594,0.671,0.241,0.333,220.0,350.67,33.6,35.3,12.9,5,130,2018
2018-05-11,Chennai,410.64,3.533,1.641,0.561,0.723,0.687,0.258,0.31,176.31,332.14,37.3,30.7,14.0,5,131,2018
2018-05-12,Chennai,407.38,3.746,1.814,0.584,0.588,0.722,0.241,0.303,176.98,310.14,24.9,29.8,11.6,5,132,2018
2018-05-13,Chennai,443.79,3.777,1.7,0.593,0.656,0.586,0.215,0.307,199.69,353.86,29.5,25.8,12.4,5,133,2018
2018-05-14,Chennai,420.87,3.752,1.724,0.618,0.608,0.656,0.22,0.353,190.15,327.39,31.1,29.3,12.3,5,134,2018
2018-05-15,Chennai,421.14,3.701,1.899,0.59,0.622,0.665,0.239,0.34,191.89,323.02,30.5,36.3,8.4,5,135,2018
2018-05-16,Chennai,388.02,3.375,1.561,0.654,0.678,0.565,0.231,0.32,182.63,272.87,32.5,37.6,10.4,5,136,2018
2018-05-17,Chennai,405.75,3.666,1.767,0.568,0.641,0.591,0.262,0.366,211.53,319.18,32.4,29.4,14.5,5,137,2018
2018-05-18,Chennai,428.02,3.666,1.824,0.616,0.719,0.576,0.202,0.287,179.7,300.39,28.9,18.1,16.9,5,138,2018
2018-05-19,Chennai,414.13,3.747,1.965,0.607,0.668,0.571,0.259,0.31,181.46,308.39,34.5,26.8,12.2,5,139,2018
2018-05-20,Chennai,417.12,3.471,1.82,0.669,0.684,0.627,0.239,0.355,190.9,296.53,32.5,31.4,11.7,5,140,2018
2018-05-21,Chennai,389.62,3.351,1.687,0.627,0.638,0.597,0.236,0.319,190.95,304.04,36.8,36.0,10.6,5,141,2018
2018-05-22,Chennai,464.16,3.783,1.759,0.577,0.716,0.65,0.225,0.319,207.05,343.3,36.3,33.3,5.9,5,142,2018
2018-05-23,Chennai,384.12,3.557,1.661,0.638,0.688,0.698,0.263,0.321,172.68,296.05,32.6,40.5,15.9,5,143,2018
2018-05-24,Chennai,384.93,3.382,1.624,0.596,0.705,0.694,0.205,0.314,169.92,263.61,35.0,25.0,10.0,5,144,2018
2018-05-25,Chennai,411.43,3.547,1.934,0.587,0.714,0.705,0.197,0.342,189.37,319.42,26.6,25.3,7.8,5,145,2018
2018-05-26,Chennai,403.36,3.721,1.858,0.674,0.723,0.646,0.232,0.307,181.26,312.65,27.2,39.0,12.7,5,146,2018
2018-05-27,Chennai,438.77,3.868,1.874,0.615,0.693,0.612,0.211,0.378,203.96,316.86,37.0,24.0,12.0,5,147,2018
2018-05-28,Chennai,425.4,3.709,1.822,0.649,0.689,0.571,0.241,0.296,201.21,312.59,33.4,23.4,17.3,5,148,2018
2018-05-29,Chennai,432.96,3.612,1.88,0.604,0.729,0.702,0.289,0.358,191.77,340.89,37.7,32.5,13.2,5,149,2018
2018-05-30,Chennai,431.48,3.658,1.734,0.64,0.684,0.72,0.235,0.341,201.79,327.03,37.3,38.4,16.0,5,150,2018
2018-05-31,Chennai,400.69,3.811,1.852,0.686,0.658,0.744,0.239,0.311,174.28,310.83,29.5,34.4,13.8,5,151,2018
2018-06-01,Chennai,406.39,3.695,1.785,0.622,0.706,0.676,0.28,0.33,184.61,283.67,36.1,12.0,11.5,6,152,2018
2018-06-02,Chennai,427.32,3.725,1.76,0.605,0.711,0.619,0.245,0.342,186.89,318.61,31.9,32.2,19.3,6,153,2018
2018-06-03,Chennai,396.42,3.81,1.825,0.564,0.657,0.563,0.265,0.338,165.08,309.77,33.4,27.8,17.1,6,154,2018
2018-06-04,Chennai,433.06,3.644,1.807,0.657,0.695,0.566,0.225,0.287,202.21,316.16,30.6,43.6,14.4,6,155,2018
2018-06-05,Chennai,397.65,3.722,1.834,0.64,0.682,0.515,0.232,0.333,170.72,290.56,37.5,22.1,15.8,6,156,2018
2018-06-06,Chennai,390.46,3.286,1.723,0.636,0.667,0.725,0.214,0.298,169.76,292.85,36.0,39.4,13.9,6,157,2018
2018-06-07,Chennai,372.32,3.548,1.663,0.616,0.584,0.661,0.248,0.347,164.64,270.15,32.8,35.3,13.6,6,158,2018
2018-06-08,Chennai,381.71,3.357,1.649,0.664,0.603,0.806,0.249,0.347,186.95,303.5,32.3,37.7,14.2,6,159,2018
2018-06-09,Chennai,414.09,3.464,1.592,0.6,0.644,0.636,0.256,0.299,199.32,319.37,37.0,42.3,18.3,6,160,2018
2018-06-10,Chennai,383.81,3.53,1.715,0.641,0.665,0.658,0.248,0.287,159.26,287.95,32.4,34.7,16.1,6,161,2018
2018-06-11,Chennai,438.96,3.578,1.607,0.694,0.601,0.673,0.231,0.32,187.62,354.64,33.0,37.5,13.0,6,162,2018
2018-06-12,Chennai,395.5,3.412,1.684,0.622,0.555,0.674,0.252,0.322,192.99,295.39,32.6,51.1,13.6,6,163,2018
2018-06-13,Chennai,439.15,3.503,1.852,0.602,0.654,0.597,0.28,0.327,215.1,335.58,32.7,45.6,9.1,6,164,2018
2018-06-14,Chennai,415.28,3.671,1.866,0.598,0.658,0.641,0.24,0.335,190.7,300.68,37.0,45.5,13.4,6,165,2018
2018-06-15,Chennai,365.15,3.638,1.746,0.603,0.702,0.706,0.196,0.324,165.42,273.62,35.6,45.6,14.6,6,166,2018
2018-06-16,Chennai,409.59,3.665,1.878,0.626,0.755,0.773,0.207,0.329,183.82,315.76,33.3,54.1,14.1,6,167,2018
2018-06-17,Chennai,386.38,3.563,1.602,0.686,0.592,0.582,0.244,0.311,172.11,297.95,31.8,44.0,13.5,6,168,2018
2018-06-18,Chennai,398.32,3.585,1.783,0.641,0.677,0.668,0.211,0.307,169.26,288.11,34.9,40.8,11.4,6,169,2018
2018-06-19,Chennai,405.43,3.838,2.085,0.631,0.776,0.671,0.222,0.34,189.06,288.68,34.2,45.3,15.3,6,170,2018
2018-06-20,Chennai,376.01,3.527,1.739,0.629,0.591,0.618,0.221,0.338,161.66,283.18,37.3,36.2,15.6,6,171,2018
2018-06-21,Chennai,434.71,3.851,1.833,0.557,0.61,0.703,0.249,0.321,200.85,330.98,32.8,47.9,13.2,6,172,2018
2018-06-22,Chennai,470.85,3.675,1.768,0.611,0.708,0.815,0.285,0.307,212.16,329.7,36.3,49.8,13.2,6,173,2018
2018-06-23,Chennai,417.55,3.7,1.819,0.589,0.664,0.667,0.193,0.359,196.66,339.28,34.2,39.4,12.9,6,174,2018
2018-06-24,Chennai,396.85,3.565,1.733,0.677,0.668,0.598,0.269,0.363,173.1,301.59,35.8,41.5,13.8,6,175,2018
2018-06-25,Chennai,358.52,3.663,1.746,0.583,0.686,0.545,0.268,0.352,151.12,244.77,39.8,45.8,14.3,6,176,2018
2018-06-26,Chennai,459.01,3.736,1.807,0.567,0.693,0.639,0.247,0.342,198.46,349.5,34.1,38.4,8.9,6,177,2018
2018-06-27,Chennai,424.64,3.602,1.623,0.553,0.68,0.71,0.233,0.307,190.92,299.33,41.4,35.7,11.8,6,178,2018
2018-06-28,Chennai,399.92,3.522,1.779,0.587,0.681,0.63,0.262,0.355,178.72,287.8,34.2,42.5,9.8,6,179,2018
2018-06-29,Chennai,418.25,3.641,1.842,0.505,0.595,0.641,0.241,0.341,177.95,319.43,31.7,45.5,11.6,6,180,2018
2018-06-30,Chennai,423.11,3.924,1.962,0.629,0.708,0.794,0.235,0.309,186.13,302.39,39.5,50.7,16.1,6,181,2018
2018-07-01,Chennai,381.74,3.422,1.656,0.635,0.729,0.703,0.185,0.344,172.41,275.05,40.2,50.3,10.8,7,182,2018
2018-07-02,Chennai,400.49,3.506,1.747,0.573,0.709,0.653,0.254,0.32,185.88,310.75,31.9,46.0,9.3,7,183,2018
2018-07-03,Chennai,429.4,3.573,1.774,0.648,0.675,0.557,0.282,0.347,193.05,320.86,32.3,51.5,9.9,7,184,2018
2018-07-04,Chennai,414.11,3.59,1.739,0.617,0.744,0.714,0.198,0.353,191.96,305.29,37.0,43.2,13.9,7,185,2018
2018-07-05,Chennai,395.78,3.562,1.826,0.616,0.66,0.685,0.214,0.341,178.44,294.92,36.2,35.8,15.0,7,186,2018
2018-07-06,Chennai,417.9,3.471,1.768,0.655,0.703,0.717,0.227,0.314,188.44,333.98,32.0,46.8,13.3,7,187,2018
2018-07-07,Chennai,425.93,3.79,1.931,0.665,0.735,0.575,0.233,0.343,195.67,329.7,31.7,50.9,8.0,7,188,2018
2018-07-08,Chennai,428.72,3.534,1.742,0.581,0.632,0.635,0.22,0.342,183.39,305.06,35.2,44.7,11.5,7,189,2018
2018-07-09,Chennai,372.81,3.606,1.645,0.557,0.718,0.69,0.279,0.317,182.86,297.74,33.8,38.2,17.3,7,190,2018
2018-07-10,Chennai,377.69,3.441,1.488,0.597,0.595,0.532,0.301,0.324,170.58,278.28,35.9,43.5,13.5,7,191,2018
2018-07-11,Chennai,416.36,3.445,1.63,0.68,0.604,0.652,0.248,0.369,186.66,311.34,35.8,41.3,8.0,7,192,2018
2018-07-12,Chennai,406.21,3.408,1.584,0.59,0.598,0.707,0.222,0.365,184.79,293.1,36.7,40.5,11.2,7,193,2018
2018-07-13,Chennai,407.83,3.731,1.781,0.657,0.544,0.59,0.247,0.321,192.64,300.39,27.7,52.4,8.0,7,194,2018
